Search name,Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
Brorsen-Metcalf,23P/Brorsen-Metcalf,47800,2447781.437,0.971952258,19.33394047,129.6106837,311.5854622,0.478752711,33.66,70.52,0.193872,2.25E-09,-5.33E-10,,,13,23P/Brorsen-Metcalf
Schaumasse,24P/Schaumasse,52120,2452032.161,0.704800356,11.75152976,57.87449255,79.8310383,1.205010042,6.96,8.25,0.28218,1.10E-09,-5.86E-10,,,K014/19,24P/Schaumasse
Grigg-Skjellerup,26P/Grigg-Skjellerup,56978,2456479.559,0.640277138,22.42889388,2.146692288,211.5375548,1.085247781,4.95,5.24,0.079476,1.13E-10,-1.05E-11,,,K139/6,26P/Grigg-Skjellerup
Crommelin,27P/Crommelin,56364,2455777.391,0.918981092,28.96687279,196.0253969,250.6264098,0.748287467,17.72,28.07,0.215189,-3.65E-08,-1.71E-09,2.08E-09,,K113/4,27P/Crommelin
Tuttle-Giacobini-Kresak,41P/Tuttle-Giacobini-Kresak,53821,2453898.291,0.660412665,9.228028049,62.19321856,141.0929309,1.047777635,5.12,5.42,0.135384,1.35E-08,3.31E-09,,,K064/9,41P/Tuttle-Giacobini-Kresak
Honda-Mrkos-Pajdusakova,45P/Honda-Mrkos-Pajdusakova,56060,2455833.282,0.824672076,4.252433261,326.2580404,89.0021809,0.529761421,5.51,5.25,0.060071,3.88E-09,4.33E-10,,,K112/2,45P/Honda-Mrkos-Pajdusakova
Wirtanen,46P/Wirtanen,56799,2456482.869,0.659202561,11.75713931,356.3402053,82.16439077,1.052262085,5.12,5.43,0.068212,2.82E-09,-1.36E-09,6.65E-10,-3.73,K073/17,46P/Wirtanen
Tempel-Tuttle,55P/Tempel-Tuttle,51040,2450872.598,0.905552721,162.4865754,172.5002737,235.2709891,0.976427916,19.7,33.24,0.008481,1.58E-09,9.19E-11,,,J985/69,55P/Tempel-Tuttle
du Toit,66P/du Toit,52920,2452879.492,0.787701487,18.70073632,257.2497193,22.21536497,1.274266775,10.73,14.71,0.430358,-3.77E-10,-1.10E-10,,,48,66P/du Toit
Churyumov-Gerasimenko,67P/Churyumov-Gerasimenko,56981,2457247.572,0.640973931,7.040200902,12.78560607,50.14210951,1.243241683,5.68,6.44,0.257189,1.09E-09,1.07E-10,1.96E-10,,K084/21,67P/Churyumov-Gerasimenko
Denning-Fujikawa,72P/Denning-Fujikawa,56981,2456850.137,0.819154527,9.16928387,337.8580425,36.10919646,0.784161206,7.89,9.03,0.085253,,,,,21,72P/Denning-Fujikawa
Schwassmann-Wachmann 3,73P/Schwassmann-Wachmann 3,50080,2449983.39,0.694826911,11.4234876,198.7699787,69.94634151,0.932770793,5.18,5.34,0.045198,6.87E-09,4.90E-10,,,J954/19,73P/Schwassmann-Wachmann 3
du Toit-Hartley,79P/du Toit-Hartley,56558,2456527.786,0.61851349,3.145618792,281.6893173,280.6403369,1.123805321,4.77,5.06,0.134779,-4.87E-11,-3.30E-11,,,16,79P/du Toit-Hartley
Boethin,85P/Boethin,54252,2454813.247,0.781160626,4.295294591,37.61838461,359.3961137,1.134657452,9.24,11.81,0.149899,0,0,,,23,85P/Boethin
Machholz 1,96P/Machholz 1,56541,2456123.323,0.959211829,58.31221424,14.7577484,94.32323631,0.123748853,5.94,5.28,0.333731,1.07E-10,-9.38E-13,,,53,96P/Machholz 1
